name,sex.byname
esentürk,1
esin,2
esra,2
evre,1
evren,1
evşen,2
eylem,2
eylül,2
eyüpcan,1
ezgi,2
fahir,1
faik,1
faruk,1
fatih,1
fatma,2
fazıl,1
fehmi,1
fehim,1
ferdi,1
ferhan,1
ferhat,1
feridun,1
ferit,1
ferruh,1
fethi,1
fevzi,1
feyyaz,1
feyza,2
feyzi,1
fikret,1
fikri,1
filiz,2
fırat,1
fuat,1
funda,2
furkan,1
galip,1
gamze,2
gamzenur,2
gani,1
gazi,1
gediz,1
gelincik,2
genç,1
gençalp,1
gençay,1
gencer,1
gençer,1
geray,1
giray,1
girgin,1
gizem,2
göğen,1
gökalp,1
gökay,1
gökbay,1
gökben,2
gökberk,1
gökçen,2
gökdeniz,1
göker,1
gökhan,1
göksagun,1
gökşah,2
göksen,2
gökşen,2
göksu,2
göktan,1
göktuğ,1
göktuna,1
göktunç,1
göktürk,1
gonca,2
goncagül,2
gönen,1
gönenç,1
görkem,1
görkmen,1
gözde,2
güçhan,1
güçkan,1
güçlü,1
güçlüer,1
güçlütürk,1
gülbüke,2
gülce,2
gülçe,2
gülistan,2
gültekin,1
gün,1
günal,1
günalp,1
günay,1
günberk,1
günce,1
gündoğan,1
güneş,2
güney,1
güralp,1
gürkan,1
güven,1
hakan,1
haldun,1
halid,1
halil,1
halilibrahim,1
halim,1
halis,1
halit,1
haluk,1
hamit,1
hamza,1
hande,2
hansoy,1
harun,1
hasan,1
hayati,1
haydar,1
hayrettin,1
hayri,1
hazal,2
hazar,1
heper,1
hepgül,2
hepgüler,2
hıfzı,1
hıncal,1
hınçal,1
hülya,2
hüseyin,1
hüseyincan,1
ibrahim,1
içim,2
içöz,1
idil,2
idris,1
ihsan,1
ilayda,2
ilbay,1
ilbey,1
ilbilge,1
ilgar,1
ilgi,2
ilgım,2
ilgın,2
ilhami,1
ilhan,1
ilkan,1
ilkay,2
ilkcan,2
ilker,1
ilkim,2
ilkin,2
ilknur,2
ilkut,1
ilkyaz,2
iltan,1
iltay,1
iltekin,1
ilteriş,1
ilyas,1
imre,1
imren,1
inal,1
ince,2
inci,2
ipek,2
irem,2
irmak,2
irtek,1
işik,2
işık,2
işil,2
işıl,2
işilay,2
işılay,2
işıner,1
işınsu,2
işıt,1
isitan,2
işıtan,1
işkın,1
itir,1
izel,2
izgi,2
izzet,1
jale,2
jalenur,2
jerfi,1
julide,2
kaan,1
kader,2
kadir,1
kadri,1
kağan,1
kahraman,1
kamer,1
kamil,1
kandemir,1
kaner,1
kansu,1
kapkın,1
kaplan,1
karan,1
kardelen,2
kartal,1
kasım,1
kaya,1
kayahan,1
kayatürk,1
kayı,1
kayıhan,1
kayra,1
kazım,1
kemal,1
kerem,1
kerim,1
keskin,1
kezban,2
kıraç,1
kivanç,1
kıvanç,1
kivilcim,2
kıvılcım,2
kız,2
koçer,1
koçhan,1
köksal,1
konur,1
konuralp,1
kor,1
koralp,1
koray,1
korcan,1
korel,1
korer,1
korkmaz,1
korkut,1
kubilay,1
kübra,2
kumsal,2
kunt,1
kunter,1
kurt,1
kurtuluş,1
kutay,1
kuter,1
kutlay,1
kutsal,1
kutsay,1
lacin,1
lal,2
lale,2
lami,1
lara,2
latif,1
lema,1
leman,2
lemi,1
lerzan,2
levent,1
leyla,2
lütfi,1
macit,1
mahir,1
mahmut,1
mahzun,1
malik,1
malkoç,1
maral,2
maviş,2
mazhar,1
mecnun,1
mehmet,1
mehmetcan,1
mehtap,2
melih,1
melihcan,1
melik,1
melike,2
melis,2
melisa,2
meltem,2
memduh,1
menderes,1
meral,2
meriçtan,1
mert,1
mertay,1
merter,1
mertkal,1
mertol,1
merve,2
mervenur,2
mesut,1
mete,1
metehan,1
metin,1
mina,2
mine,2
miraç,1
miray,2
müge,2
muhammed,1
murat,1
muratcan,1
müren,1
mustafa,1
naci,1
nadide,2
nail,1
naim,1
namık,1
nart,1
nayman,1
naz,2
nazife,2
nazım,1
nazire,2
nazlan,2
nazli,2
nazlı,2
nazlım,2
nazmi,1
nebi,1
necat,1
necati,1
necdet,1
necip,1
necmettin,1
necmi,1
nedim,1
nehir,2
nejat,1
neşe,2
neşet,1
neslihan,2
neval,2
nevzat,1
nezih,1
nice,2
nihan,2
nihat,1
nihatcan,1
nil,2
nilay,2
nilgün,2
nilsu,2
nilüfer,2
nisa,2
nisanur,2
niyazi,1
nizam,1
nizami,1
nogay,1
nur,2
nurbanu,2
nurcan,2
nurdan,2
nuri,1
nurkut,1
nurperi,2
nursal,1
nursel,2
nurseli,2
nursen,2
nurşen,2
nuyan,1
oben,1
öcal,1
oğulcan,1
ogün,1
öğüt,1
oğuz,1
oğuzhan,1
okan,1
okay,1
öke,1
ökmen,1
oktay,1
öktem,1
ökten,1
okyar,1
olca,1
olcayto,1
olcaytuğ,1
oluş,1
ömer,1
ömür,1
önal,1
önalan,1
önay,1
öncel,1
öncü,1
öncüer,1
önder,1
önel,1
öner,1
ongu,1
onur,1
onuray,1
onurcan,1
onurhan,1
oray,1
orhan,1
osman,1
över,1
övgül,2
övün,1
oya,2
öykü,2
oylum,2
oytun,1
özalp,1
ozan,1
özay,1
özbek,1
özberk,1
özcan,1
özde,2
özden,2
özdilek,1
özdoğa,1
özel,1
özenç,1
özer,1
özerk,1
özge,2
özinal,1
özinan,1
özkan,1
özlem,2
özlen,2
özler,1
özmen,1
öznur,2
özok,1
özol,1
özperi,2
özsel,1
özselen,2
özsoy,1
özsu,2
öztan,1
öztekin,1
öztuna,1
öztunç,1
öztürk,1
pamir,1
papatya,2
par,1
parla,2
parlar,2
pars,1
paşa,1
pasin,1
pekcan,1
peker,1
pekin,1
pekiner,1
pekşen,1
pelin,2
pelinsu,2
pelit,2
perk,1
petek,2
pinar,2
pınar,2
pırıl,2
polat,1
polatalp,1
polathan,1
polatkan,1
poyraz,1
pusat,1
rabia,2
raci,1
radife,2
rafet,1
ragıp,1
rahman,1
raif,1
rakım,1
ramazan,1
rami,1
ramiz,1
rana,2
rasim,1
rasin,1
rasit,1
raşit,1
rauf,1
recai,1
recep,1
refik,1
reha,1
remzi,1
resat,1
reşat,1
resit,1
reyhan,2
rezzan,2
rıdvan,1
rıfat,1
rıfkı,1
rıza,1
rüçhan,1
ruhsar,2
rusen,1
ruşen,2
rutkay,1
rüya,2
rüzgar,1
saadet,2
saaza,2
sabah,2
sabri,1
sadi,1
şadi,1
safa,1
şafak,1
safiye,2
sağcan,1
sağlam,1
sağun,1
şahan,1
şahin,1
şahinalp,1
şahiner,1
salgır,1
salih,1
salkım,2
salman,1
saltuk,1
samet,1
sami,1
şan,1
sanal,1
sanalp,1
sanberk,1
sancar,1
sançar,1
saner,1
sanlı,1
şanlı,1
şanlıbay,1
şansal,1
şanver,1
saran,1
sarp,1
sarper,1
sarphan,1
saruhan,1
savaş,1
saygın,1
sayhan,1
sayıl,1
şaylan,1
seçil,2
seçkiner,1
seda,2
sedanur,2
sedat,1
sedef,2
seden,2
şefik,1
selay,2
selcen,2
selçuk,1
selen,2
selim,1
selimcan,1
selin,2
selvi,2
semanur,2
semih,1
semiha,2
semina,2
şemsi,1
şen,1
sena,2
şenay,2
sencer,1
senem,2
sener,1
şengün,2
şeniz,2
şenkal,2
şensu,2
seray,2
sercan,1
serdar,1
şeref,1
sergen,1
serhan,1
serhat,1
şerif,1
serin,2
serkan,1
serpil,2
serra,2
sert,1
setanay,2
seval,2
sevgi,2
sevgin,2
sevi,2
sevil,2
sevilay,2
sevim,2
sevinç,2
şevval,2
seyfettin,1
seyhan,1
seyhun,1
şeyma,2
sezen,2
sezgi,2
sezin,2
sibel,2
sıla,2
simay,2
simge,2
simin,2
şimşek,1
sinan,1
sinem,2
sirri,1
şiva,2
sökmen,1
somer,1
sona,1
soner,1
songül,2
sönmez,1
sorkun,1
soydan,1
soyer,1
soyhan,1
soykan,1
soylu,1
sözen,1
sözer,1
su,2
süalp,1
suat,1
sude,2
sudem,2
şueda,2
süer,1
şükrü,1
şule,2
süleyman,1
sultan,2
sümer,1
sümeyye,2
suna,2
suzan,2
tağalp,1
taha,1
tahacan,1
tahsin,1
talas,1
talat,1
talay,1
talaz,1
talha,1
talip,1
